ID,Name,Ref ID 1,VFX Variation ID,Weight,Base Price,Sell Value,Replace Item ID,Behavior ID,Sort ID,QWC ID,Dialog Message ID,Magic ID,Icon ID,Model ID,Shop Level,Comp Trophy Sed ID,Trophy Seq ID,Max Amount,Consume Hero Point,Over Dexterity,Goods Type,Reference Type,SpEffect Category,Goods Category,Goods Use Animation,Open Menu Type,Use Limit Category,Replace Category,Vow Type 0,Vow Type 1,Vow Type 2,Vow Type 3,Vow Type 4,Vow Type 5,Vow Type 6,Vow Type 7,Vow Type 8,Vow Type 9,Vow Type 10,Vow Type 11,Vow Type 12,Vow Type 13,Vow Type 14,Vow Type 15,Enable Live,Enable Gray,Enable White,Enable Black,Enable Multiplayer,Enable Offline,Is Equip,Is Consume,Is Auto Equip,Is Establishment,Is Only One,Is Drop,Is Deposit,Is Disable Hand,Is Travel Item,Is Supple Item,Is Full Supple Item,Is Enhance,Is Fix Item,Is Disable Multi Drop Share,Is Disable Use At Colliseum,Is Disable Use Out of Colliseum,Use Bullet Max Num,Use Hp Cure Max Num,Is Auto Replenish,Can Multi Use,Is Guest Drop,Is Enchant Left Hand,Is Apply Special Effect,Unk1,Unk2,Unk3,Ref ID - Offhand,Reinforce Param Weapon ID,Vagrant Item Lot ID,Vagrant (Enemy) Item Lot ID,Vagrant (Enemy) Item Lot ID,Use VFX 1,Use VFX 2,Use VFX 3,Is Ember Stays Active,Is Get Play Region Info,Is Using Ladder,Is Enable On Session Creation,Is Use Selected,Is Enchant Left,Is Always Valid,Is Net Penalized,Supple Item Type,Is Enable Scaleform,Can Drop,Max Rep Number,Invade Type,Shop Price,FP Cost,Use Limit Category 2
0,,160760000,66,0,0,-1,0,-1,37000,-1,-1,0,6078,0,-1,-1,-1,99,0,50,0,2,0,0,6,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,-1,-1,-1,-1,-1,101,-1,-1,True,False,False,True,False,False,False,False,0,1,False,999,0,250,0,0
60,ID Monitoring Item 1,0,0,0,0,-1,0,-1,80000,-1,0,0,0,0,-1,-1,-1,99,0,50,0,2,0,0,-1,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1,-1,-1,-1,-1,-1,-1,-1,True,False,False,True,False,False,False,False,0,0,False,99,0,-1,0,0
61,ID Monitoring Item 2,0,0,0,0,-1,0,-1,80000,-1,0,0,0,0,-1,-1,-1,99,0,50,0,2,0,0,-1,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1,-1,-1,-1,-1,-1,-1,-1,True,False,False,True,False,False,False,False,0,0,False,99,0,-1,0,0
62,ID Monitoring Item 3,0,0,0,0,-1,0,-1,80000,-1,0,0,0,0,-1,-1,-1,99,0,50,0,2,0,0,-1,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1,-1,-1,-1,-1,-1,-1,-1,True,False,False,True,False,False,False,False,0,0,False,99,0,-1,0,0
63,ID Monitoring Item 4,0,0,0,0,-1,0,-1,80000,-1,0,0,0,0,-1,-1,-1,99,0,50,0,2,0,0,-1,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1,-1,-1,-1,-1,-1,-1,-1,True,False,False,True,False,False,False,False,0,0,False,99,0,-1,0,0
64,ID Monitoring Item 5,0,0,0,0,-1,0,-1,80000,-1,0,0,0,0,-1,-1,-1,99,0,50,0,2,0,0,-1,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1,-1,-1,-1,-1,-1,-1,-1,True,False,False,True,False,False,False,False,0,0,False,99,0,-1,0,0
65,ID Monitoring Item 6,0,0,0,0,-1,0,-1,80000,-1,0,0,0,0,-1,-1,-1,99,0,50,0,2,0,0,-1,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1,-1,-1,-1,-1,-1,-1,-1,True,False,False,True,False,False,False,False,0,0,False,99,0,-1,0,0
66,ID Monitoring Item 7,0,0,0,0,-1,0,-1,80000,-1,0,0,0,0,-1,-1,-1,99,0,50,0,2,0,0,-1,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1,-1,-1,-1,-1,-1,-1,-1,True,False,False,True,False,False,False,False,0,0,False,99,0,-1,0,0
67,ID Monitoring Item 8,0,0,0,0,-1,0,-1,80000,-1,0,0,0,0,-1,-1,-1,99,0,50,0,2,0,0,-1,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1,-1,-1,-1,-1,-1,-1,-1,True,False,False,True,False,False,False,False,0,0,False,99,0,-1,0,0
68,ID Monitoring Item 9,0,0,0,0,-1,0,-1,80000,-1,0,0,0,0,-1,-1,-1,99,0,50,0,2,0,0,-1,0,0,0,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1,-1,-1,-1,-1,-1,-1,-1,True,False,False,True,False,False,False,False,0,0,False,99,0,-1,0,0
