#------------------------------------
# Weapon Anim IDs
#------------------------------------
# WeaponCategoryHandStyle
000000 - PrayBroFireRight
000000 - PrayBroFireRight_Upper
030201 - Throw30201
030201 - ThrowErrorHandling
030202 - Throw30202
030203 - Throw30203
030400 - Throw30400
030401 - Throw30401
030402 - Throw30402
030410 - Throw30410
030420 - Throw30420
030450 - ThrowBackStab
030800 - FallAttackStart
030801 - FallAttackLoop
030802 - FallAttackCancel
030810 - LandFallAttack
030860 - Throw30860
030870 - Throw30870
033000 - AttackBothLeft1
033010 - AttackBothLeft2
033020 - AttackBothLeft3
033500 - AttackBothLeftDash
033900 - AttackBothLeftStep
034000 - AttackBothLight1
034000 - AttackArrowRightFire
034010 - AttackBothLight2
034020 - AttackBothLight3
034100 - AttackBothLightKick
034150 - GuardBreakWallBoth
034200 - GuardDamageBreakBoth
034320 - AttackBothHeavy1Start
034321 - AttackBothHeavy1End
034325 - AttackBothHeavyWepBroken1Start
034330 - AttackBothHeavy1SubStart
034330 - AttackBothHeavyWepBroken1SubStart
034340 - AttackBothHeavy2Start
034341 - AttackBothHeavy2End
034345 - AttackBothHeavyWepBroken2Start
034350 - AttackBothHeavySpecial1Start
034351 - AttackBothHeavySpecial1End
034360 - AttackBothHeavySpecial1SubStart
034370 - AttackBothHeavySpecial2Start
034371 - AttackBothHeavySpecial2End
034500 - AttackBothDash
034500 - AttackArrowRightFireDash
034510 - AttackBothDashSpecial
034600 - AttackBothHeavyKick
034610 - AttackBothHeavyKickSpecial
034900 - AttackBothLightStep
034900 - AttackArrowRightFireStep
034910 - AttackBothLightStepSpecial
034920 - AttackBothBackstep
035500 - AttackArrowRightStart
035500 - AttackArrowRightStart_Upper
035510 - AttackArrowRightLoop
035510 - AttackArrowRightLoop_Upper
035515 - AttackArrowRightLoopMove
036000 - StepInRightStart
036000 - StepInRightStart_Upper
036001 - StepInRightStart_NoPoints
036001 - StepInRightStart_NoPoints_Upper
036050 - StepInRightUppercut
036051 - StepInRightUppercut_NoPoints
036060 - StepInRightSlash
036061 - StepInRightSlash_NoPoints
036070 - StepInRightDashStart
036100 - SpinRightSelftransLeft
036100 - SpinRightLeft
036110 - SpinRightTransselfRight
036110 - SpinRightRight
036120 - SpinRightSelftransFrontLeft
036120 - SpinRightFrontLeft
036130 - SpinRightSelftransFrontRight
036130 - SpinRightFrontRight
036200 - DrawStanceRightStart
036200 - DrawStanceRightStart_Upper
036202 - FourWayDrawStanceRightStartRight
036202 - DrawStanceRightComboStartRight
036203 - FourWayDrawStanceRightStartLeft
036203 - DrawStanceRightComboStartRight_NoPoints
036204 - FourWayDrawStanceRightStartFrontRight
036204 - DrawStanceRightComboStartLeft
036205 - FourWayDrawStanceRightStartFrontLeft
036205 - DrawStanceRightComboStartLeft_NoPoints
036206 - FourWayDrawStanceRightStartBackRight
036206 - DrawStanceStartDash
036207 - FourWayDrawStanceRightStartBackLeft
036207 - DrawStanceStartDash_NoPoints
036208 - DrawStanceStartRolling
036209 - DrawStanceStartRolling_NoPoints
036210 - DrawStanceRightLoop
036210 - DrawStanceRightLoop_Upper
036210 - DrawStanceRightLoopNoSync
036210 - DrawStanceRightLoopNoSync_Upper
036215 - DrawStanceRightLoopMove_Upper
036215 - DrawStanceRightLoopMoveNoSync_Upper
036220 - DrawStanceRightEnd
036220 - DrawStanceRightEnd_Upper
036230 - DrawStanceRightAttackLight
036231 - DrawStanceRightAttackLight_NoPoints
036232 - DrawStanceRightAttackLightR90
036233 - DrawStanceRightAttackLightR90_NoPoints
036234 - DrawStanceRightAttackLight180
036235 - DrawStanceRightAttackLight180_NoPoints
036236 - DrawStanceRightAttackLightL90
036237 - DrawStanceRightAttackLightL90_NoPoints
036240 - DrawStanceRightAttackHeavy
036241 - DrawStanceRightAttackHeavy_NoPoints
036242 - DrawStanceRightAttackHeavyR90
036243 - DrawStanceRightAttackHeavyR90_NoPoints
036244 - DrawStanceRightAttackHeavy180
036245 - DrawStanceRightAttackHeavy180_NoPoints
036246 - DrawStanceRightAttackHeavyL90
036247 - DrawStanceRightAttackHeavyL90_NoPoints
036250 - DrawStanceRightAttackLight2
036251 - DrawStanceRightAttackLight2_NoPoints
036260 - DrawStanceRightAttackHeavy2
036261 - DrawStanceRightAttackHeavy2_NoPoints
036270 - DrawStanceRightAttackHeavyLoop
036271 - DrawStanceRightAttackHeavyLoop_NoPoints
036280 - DrawStanceRightAttackHeavyLoopEnd
036285 - DrawStanceRightHeavyLoopGuard00
036285 - DrawStanceRightHeavyLoopGuard
036290 - DrawStanceRightAttackLight3
036291 - DrawStanceRightAttackLight3_NoPoints
036300 - SpecialAttackRightStart
036310 - SpecialAttackRightLight
036320 - SpecialAttackRightHeavy
036400 - AttackSpinStart
036400 - AttackSpinStart_Upper
036401 - AttackSpinStart_NoPoints
036401 - AttackSpinStart_NoPoints_Upper
036410 - AttackSpinLight
036411 - AttackSpinLight_NoPoints
036420 - AttackSpinHeavy
036421 - AttackSpinHeavy_NoPoints
036422 - AttackSpinHeavyL
036423 - AttackSpinHeavyL_NoPoints
036430 - AttackSpinLoop
036431 - AttackSpinLoop_NoPoints
036440 - AttackSpinLoopEnd
036441 - AttackSpinLoopEnd_NoPoints
036500 - ChainShotRightStart
036500 - ChainShotRightStart_Upper
036510 - ChainShotRightLoop
036510 - ChainShotRightLoop_Upper
036515 - ChainShotRightLoopMove_Upper
036520 - ChainShotRightFire
036521 - ChainShotRightFire_NoPoints
036530 - ChainShotRightFireCont
036531 - ChainShotRighttFireCont_NoPoints
036540 - ChainShotRightEnd
036540 - ChainShotRightEnd_Upper
036700 - Charge
036700 - Charge_Upper
036701 - Charge_NoPoints
036701 - Charge_NoPoints_Upper
036710 - ChargeContinue
036711 - ChargeContinue_NoPoints
036720 - ChargeContinue2
036721 - ChargeContinue2_NoPoints
036800 - StrongBashRightStart
036900 - ParryRightStart
036901 - ParryRightStart_WepBreak
037130 - WideshotRightFire
037400 - StampedeRightStart
037410 - StampedeRightAttackLight
037420 - StampedeRightAttackHeavy
037670 - Warcry
037671 - Warcry_NoPoints
037680 - WarcryCancel
037681 - WarcryCancel_NoPoints
037700 - Endure
037700 - Endure_Upper
037701 - Endure_NoPoints
037701 - Endure_NoPoints_Upper
037710 - EndureRightHeavy
037711 - EndureRightHeavy_NoPoints
037900 - MagicBuffRight
037900 - MagicBuffRight_Upper
