#------------------------------
# Item ID ranges
#------------------------------
# Proper
# Map - Enemies: xxx0000
# Map - Players: xxx0900
# Map - Object: xxx1000
# Map - MSBRegions: xxx2000
# Map - MSBEvents: xxA10000
# Map - Collision: xxx4000
# Map - Chest ObjAct: xxx4300

# These need to be used for new treasures in each area
54002076 Cemetery of Ash / Unturned Graves
53002107 High Wall of Lothric / Consumed King's Garden
53102095 Undead Settlement
53302183 Road of Sacrifices / Farron Keep
53502084 Cathedral of the Deep
53802179 Catacombs of Carthus / Smouldering Lake
53702158 Irithyll of the Boreal Valley / Anor Londo
53902122 Irithyll Dungeon / Profaned Capital
53012091 Lothric Castle
53412135 Grand Archives
54102011 Kiln of the First Flame
53202077 Archdragon Peak
54502076 Painted World of Ariandel
55002066 Dreg Heap
55102060 The Ringed City

#------------------------------
# Changelog
#------------------------------

# Bugfixes
- Fixed Writ items requiring a weapon to be wielded to work.
- Fixed some of the new movesets adding 3 attunement slots randomly.

#------------------------------
# TODO - General
#------------------------------
31450000 - 0841 - 4262 - Aldia Hammer                    - Hammer
31460000 - 0842 - 4263 - Black Scorpion Stinger          - Rapier
31470000 - 0843 - 4264 - Dragonrider Twinblade           - Splitleaf Greatsword
31480000 - 0844 - 4265 - Drakekeeeper's Great Hammer     - Great Hammer 
31490000 - 0845 - 4266 - Drakekeeper's Greataxe          - Greataxe
31500000 - 0846 - 4267 - Drakekeeper's Warpick           - Great Hammer 
31510000 - 0847 - 4268 - Drakewing Ultra Greatsword      - UGS
31520000 - 0848 - 4269 - Gargoyle Bident                 - Spear
31530000 - 0849 - 4270 - Giant Warrior Club              - Great Hammer
31540000 - 0850 - 4271 - Helix Halberd                   - Halberd
31550000 - 0851 - 4272 - Malformed Skull                 - Great Hammer
31560000 - 0852 - 4273 - Melu Scimitar                   - Curved Sword
31570000 - 0853 - 4274 - Old Knight Halberd              - Halberd
31580000 - 0854 - 4275 - Old Knight Hammer               - Great Hammer
31590000 - 0855 - 4276 - Old Knight Pike                 - Pike
31600000 - 0856 - 4277 - Red Rust Scimitar               - Curved Sword
31610000 - 0857 - 4278 - Roaring Halberd                 - Halberd
31620000 - 0858 - 4279 - Sanctum Mace                    - Great Hammer
31630000 - 0859 - 4280 - Spider's Silk                   - Rapier
31640000 - 0860 - 4281 - Spitfire Spear                  - Spear
31650000 - 0861 - 4282 - Syan's Halberd                  - Halberd
31660000 - 0862 - 4283 - Warped Sword                    - Curved Sword
31670000 - 0955 - 4284 - Ivory King Ultra Greatsword     - UGS
31680000 - 0939 - 4285 - Stone Greataxe                  - Greataxe
31690000 - 0945 - 4286 - Gargoyle Halberd                - Halberd
31700000 - 0946 - 4287 - Gargoyle Axe                    - Axe
