400002E8 	Soul of Sister Friede 	
40000869 	Champions Bones 	
4000086A 	Captain's Ashes 	
4000086B 	Contraption Key
000623E0    Millwood Greatarrow
00222E00 	Onyx Blade 	
003EDDC0 	Follower Sabre 	
006D67D0 	Millwood Battle Axe 	
006D8EE0 	Earth Seeker 	
007ECCF0 	Quakestone Hammer 	
008CD6B0 	Follower Javelin 	
009B55A0 	Friede's Great Scythe 	
00A89C10 	Crow Talons 	
00B82C70 	Rose of Ariandel 	
00CC9ED0 	Pyromancer's Parting Flame 	
00D85EA0 	Millwood Greatbow 	
00F646E0 	Valorheart 	
00F66DF0 	Crow Quills 	
0135C0E0 	Followers Shield 	
01450320 	Ethereal Oak Shield 	
015F1AD0 	Follower Torch
137CA3A0 	Follower Helm 	
137CA788 	Follower Armor 	
137CAB70 	Follower Gloves 	
137CAF58 	Follower Boots 	
134EDCE0 	Slave Knight Hood 	
134EE0C8 	Slave Knight Armor 	
134EE4B0 	Slave Knight Gauntlets 	
134EE898 	Slave Knight Leggings 	
11312D00 	Vilhelm's Helm 	
113130E8 	Vilhelm's Armor 	
113134D0 	Vilhelm's Gauntlets 	
113138B8 	Vilhelm's Leggings 	
139B2820 	Millwood Knight Helm 	
139B2C08 	Millwood Knight Armor 	
139B2FF0 	Millwood Knight Gauntlets 	
139B33D8 	Millwood Knight Leggings 	
135E1F20 	Ordained Hood 	
135E2308 	Ordained Dress 	
135E2AD8 	Ordained Trousers
20005208 	Chillbite Ring
401408E8 	Frozen Weapon 	 	
401A90C8 	Snap Freeze 	 	
40257DA8 	Floating Chaos 	 	
403642A0 	Way of White Corona

4000013B 	Church Guardian Shiv 	
4000017B 	Filianore's Spear Ornament 	
4000028A 	Ritual Spear Fragment 	
4000028B 	Divine Spear Fragment 	
400002E9 	Soul of Slave Knight Gael 	
400002EA 	Soul of the Demon Prince 	
400002EB 	Soul of Darkeater Midir 	
4000086C 	Small Envoy Banner 	
4000086D 	Old Woman's Ashes 	
4000086E 	Blood of the Dark souls 	
4000086F 	Young Grass Dew
00116520 	Aquamarine Dagger
00118C30 	Murky Hand Scythe
00225510 	Ringed Knight Straight Sword
00227C20 	Gael Greatsword 	
003F04D0 	Demon Scar 	
004D35A0 	Frayed Blade
006159E0 	Herald Curved Greatsword
007EF400 	Ledo's Great Hammer 	
008CFDC0 	Ringed Knight Spear 	
008D24D0 	Lothric War Banner
008D4BE0 	Crucifix of the Mad King
009B2E90 	Splitleaf Greatsword
00CCC5E0 	Murky Longstaff 	
00CCECF0 	Sacred Chime of Filianore 	
00CD1400 	Preacher's Right Arm
00D77440 	White Birch Bow
0D885B0 	Repeating Crossbow 	
00F5F8C0 	Great Door Twinshields
00F69500 	Ringed Knight Paired Greatswords 	
0135E7F0 	Dragonhead Shield 	
01452A30 	Dragonhead Greatshield
11B2E408 	Antiquated Plain Garb 	
11B2E7F0 	Violet Wrappings 	
11B2EBD8 	Antiquated Loincloth
11C22260 	Shira's Crown 	
11C22648 	Shira's Armor 	
11C22A30 	Shira's Gloves 	
11C22E18 	Shira's Trousers 	
11E84800 	Lapp's Helm 	
11E84BE8 	Lapp's Armor 	
11E84FD0 	Lapp's Gauntlets 	
11E853B8 	Lapp's Leggings 	
13C8EEE0 	Ringed Knight Hood 	
13C8F2C8 	Ringed Knight Armor 	
13C8F6B0 	Ringed Knight Gauntlets 	
13C8FA98 	Ringed Knight Leggings 	
13D83508 	Harald Legion Armor 	
13D838F0 	Harald Legion Gauntlets 	
13D83CD8 	Harald Legion Leggings 	
1405F7E0 	Iron Dragonslayer Helm 	
1405FBC8 	Iron Dragonslayer Armor 	
1405FFB0 	Iron Dragonslayer Gauntlets 	
14060398 	Iron Dragonslayer Leggings 	
14153A20 	White Preacher Head 	
14CC5520 	Ruin Sentinel Helm 	
14CC5908 	Ruin Sentinel Armor 	
14CC5CF0 	Ruin Sentinel Gauntlets 	
14CC60D8 	Ruin Sentinel Leggings 	
14DB9760 	Desert Pyromancer Hood 	
14DB9B48 	Desert Pyromancer Garb 	
14DB9F30 	Desert Pyromancer Gloves 	
14DBA318 	Desert Pyromancer Skirt 	
14FA1BE0 	Black Witch Veil 	
14EAD9A0 	Black Witch Hat 	
14EADD88 	Black Witch Garb 	
14EAE170 	Black Witch Wrappings 	
14EAE558 	Black Witch Trousers 	
15095E20 	Blindfold Mask
